session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ff189070538db0e2575136c,574eab79c18847000e071119,RETURNED,2021-01-03 09:06:24.137000,,657734.611971,39,1307,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff189106d65c55d7893f65d,5f524e7407f3574c7f05fa45,APPROVED,2021-01-03 09:06:24.222000,2021-01-03 09:12:07.771000,343.549,31,295,0,100,2021-01-05 23:04:49.508000,8256C4AC,Bangladesh,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff1891d8e8e870ef57be297,5f0c88ea711ed50e642bd561,RETURNED,2021-01-03 09:13:00.553000,,657338.719448,41,404,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18933ebe5920e010888ff,5e37b3d7abde98738c0f1e7c,APPROVED,2021-01-03 09:11:55.543000,2021-01-03 09:25:22.187000,806.644,36,797,17,96,2021-01-05 23:04:54.372000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5ff189341d6cb45cdb73c1dd,5bf5aa89d944c300012634cc,APPROVED,2021-01-03 09:07:05.819000,2021-01-03 09:20:44.923000,819.104,30,1109,0,100,2021-01-05 23:05:01.987000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff1893650c73d5ddf315c13,5e5f470175294727a0803d61,APPROVED,2021-01-03 09:07:05.482000,2021-01-03 09:12:39.023000,333.541,30,633,5,99,2021-01-05 23:05:10.496000,8256C4AC,United States,United States,Full-Time,English,United States,Female,Yes
5ff189380538db0e2575136d,5b1045e0096bf10001e36900,APPROVED,2021-01-03 09:07:08.727000,2021-01-03 09:16:01.812000,533.085,35,1476,10,99,2021-01-05 23:05:20.258000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff1893aad6c6d0de2a26961,5da926115c6987001535a2da,APPROVED,2021-01-03 09:07:14.017000,2021-01-03 09:21:53.580000,879.563,58,842,4,99,2021-01-05 23:05:33.079000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff1894d1976285c599f7b42,5d2c809ea0580000194a22b2,APPROVED,2021-01-03 09:07:28.921000,2021-01-03 09:21:40.842000,851.921,35,806,3,100,2021-01-05 23:05:41.673000,8256C4AC,Russian Federation,United States,DATA EXPIRED,Russian,United States,Female,DATA EXPIRED
5ff18956c92b365d4bdcd437,5f4caffcfae2768c64785195,APPROVED,2021-01-03 09:07:34.921000,2021-01-03 09:12:44.304000,309.383,45,112,2,97,2021-01-05 23:05:49.033000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,Yes
5ff18960878eaa5da1458ecb,5d4a6459061e2a000138bad3,APPROVED,2021-01-03 09:07:44.715000,2021-01-03 09:15:11.844000,447.129,44,815,1,100,2021-01-05 23:05:53.903000,8256C4AC,United States,United States,Other,English,United States,Male,No
5ff18963e7fadb5d98f5f063,5f59ea0ad9799401cb95167a,APPROVED,2021-01-03 09:07:47.739000,2021-01-03 09:20:59.218000,791.479,45,161,2,100,2021-01-05 23:06:03.527000,8256C4AC,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
5ff18964e7fadb5d215c0f68,5dc50289718e6d39756e99f9,APPROVED,2021-01-03 09:07:52.733000,2021-01-03 09:31:07.766000,1395.033,62,660,2,100,2021-01-05 23:06:08.250000,NOCODE,United States,United States,Full-Time,English,United States,Male,No
5ff189681d6cb45aec2ec310,57d3ec302fa3300001453bb2,APPROVED,2021-01-03 09:07:52.595000,2021-01-03 09:20:40.731000,768.136,36,877,7,99,2021-01-05 23:06:15.016000,8256C4AC,United States,United States,Part-Time,English,United States,Male,No
